Date,Open,High,Low,Close,Adj Close,Volume
2012-07-27,200.0,200.0,200.0,200.0,199.714294,3.0
2012-07-30,200.0,200.0,200.0,200.0,199.714294,0.0
2012-07-31,200.0,200.0,200.0,200.0,199.714294,0.0
2012-08-01,240.0,240.0,240.0,240.0,239.65715,0.0
2012-08-02,288.0,288.0,288.0,288.0,287.588593,1.0
2012-08-03,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-06,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-07,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-08,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-09,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-10,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-13,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-14,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-15,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-16,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-17,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-20,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-21,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-22,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-23,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-24,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-27,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-28,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-29,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-30,288.0,288.0,288.0,288.0,287.588593,0.0
2012-08-31,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-03,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-04,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-05,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-06,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-07,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-10,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-11,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-12,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-13,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-14,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-17,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-18,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-19,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-20,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-21,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-24,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-25,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-26,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-27,288.0,288.0,288.0,288.0,287.588593,0.0
2012-09-28,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-01,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-02,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-03,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-04,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-05,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-08,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-09,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-10,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-11,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-12,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-15,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-16,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-17,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-18,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-19,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-22,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-23,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-24,288.0,288.0,288.0,288.0,287.588593,0.0
2012-10-25,150.0,150.0,150.0,150.0,149.785721,5.0
2012-10-26,150.0,150.0,150.0,150.0,149.785721,0.0
2012-10-29,150.0,150.0,150.0,150.0,149.785721,0.0
2012-10-30,150.0,150.0,150.0,150.0,149.785721,0.0
2012-10-31,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-01,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-02,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-05,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-06,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-07,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-08,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-09,150.0,150.0,150.0,150.0,149.785721,10.0
2012-11-12,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-13,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-14,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-15,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-16,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-19,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-20,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-21,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-22,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-23,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-26,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-27,150.0,150.0,150.0,150.0,149.785721,0.0
