Date,Close,High,Low,Open,Volume
2016-10-03,0.04,0.04,0.03,0.04,320132
2016-10-04,0.04,0.04,0.04,0.04,0
2016-10-05,0.04,0.04,0.03,0.03,19800
2016-10-06,0.04,0.04,0.04,0.04,0
2016-10-07,0.04,0.04,0.03,0.03,39508
2016-10-10,0.03,0.04,0.03,0.04,10055
2016-10-11,0.03,0.03,0.03,0.03,0
2016-10-12,0.04,0.04,0.03,0.04,9850
2016-10-13,0.04,0.04,0.04,0.04,0
2016-10-14,0.04,0.04,0.03,0.03,34333
2016-10-17,0.04,0.04,0.04,0.04,10000
2016-10-18,0.03,0.04,0.03,0.03,680566
2016-10-19,0.04,0.04,0.03,0.04,120100
2016-10-20,0.04,0.04,0.04,0.04,0
2016-10-21,0.03,0.03,0.03,0.03,2000
2016-10-24,0.03,0.04,0.03,0.04,59166
2016-10-25,0.03,0.03,0.03,0.03,0
2016-10-26,0.03,0.03,0.03,0.03,15000
2016-10-27,0.03,0.03,0.03,0.03,140289
2016-10-28,0.03,0.03,0.03,0.03,1100
2016-10-31,0.03,0.03,0.03,0.03,550
2016-11-01,0.03,0.03,0.03,0.03,0
2016-11-02,0.03,0.03,0.03,0.03,10
2016-11-03,0.03,0.03,0.03,0.03,4500
2016-11-04,0.03,0.03,0.03,0.03,1200
2016-11-07,0.03,0.03,0.03,0.03,7383
2016-11-08,0.03,0.03,0.03,0.03,10502
2016-11-09,0.03,0.03,0.03,0.03,26754
2016-11-10,0.03,0.03,0.03,0.03,0
2016-11-11,0.03,0.03,0.03,0.03,1300
2016-11-14,0.03,0.03,0.03,0.03,536406
2016-11-15,0.03,0.03,0.03,0.03,40338
2016-11-16,0.03,0.03,0.03,0.03,0
2016-11-17,0.03,0.03,0.03,0.03,13140
2016-11-18,0.03,0.03,0.03,0.03,426
2016-11-21,0.03,0.03,0.03,0.03,18500
2016-11-22,0.03,0.03,0.03,0.03,0
2016-11-23,0.03,0.03,0.03,0.03,10322
2016-11-24,0.03,0.03,0.02,0.02,105140
2016-11-25,0.03,0.03,0.03,0.03,0
2016-11-28,0.02,0.02,0.02,0.02,500
2016-11-29,0.03,0.03,0.03,0.03,200
2016-11-30,0.03,0.03,0.02,0.02,21584
2016-12-01,0.03,0.03,0.03,0.03,7000
2016-12-02,0.03,0.04,0.02,0.03,77773
2016-12-05,0.03,0.03,0.02,0.02,18367
2016-12-06,0.03,0.03,0.03,0.03,0
2016-12-07,0.03,0.03,0.02,0.02,13000
2016-12-08,0.03,0.03,0.03,0.03,0
2016-12-09,0.03,0.03,0.02,0.02,44152
2016-12-12,0.03,0.03,0.03,0.03,2500
2016-12-13,0.02,0.02,0.02,0.02,2000
2016-12-14,0.02,0.03,0.02,0.03,32700
2016-12-15,0.02,0.02,0.02,0.02,9460
2016-12-16,0.02,0.02,0.02,0.02,3000
2016-12-19,0.03,0.03,0.02,0.02,1000
2016-12-20,0.02,0.03,0.02,0.02,25100
2016-12-21,0.03,0.03,0.03,0.03,6000
2016-12-22,0.02,0.03,0.02,0.03,33533
2016-12-23,0.02,0.03,0.02,0.03,11070
2016-12-26,0.02,0.02,0.02,0.02,0
2016-12-27,0.03,0.03,0.03,0.03,3500
2016-12-28,0.03,0.03,0.02,0.03,21855
2016-12-29,0.03,0.03,0.02,0.02,19800
2016-12-30,0.02,0.03,0.02,0.03,21185
2017-01-02,0.02,0.02,0.02,0.02,300
2017-01-03,0.03,0.03,0.02,0.02,2400
